lat,lon,time,brightness
-33.92241222325814,18.421493940982785,215.0,50.539531069155096
-33.92240083471979,18.421501454777065,216.0,56.68144091194058
-33.922388846173156,18.421508648277,217.0,62.35576431086034
-33.92237739965955,18.421516685243088,218.0,63.01459551022376
-33.92236687544791,18.42152527639029,219.0,61.99190899884259
-33.92235829119594,18.421535145560195,220.0,59.20118429301697
-33.922349430957354,18.421546044657212,221.0,64.74511025511188
-33.922340609577766,18.421558016836027,222.0,67.70762683256173
-33.92233236625786,18.42157029034082,223.0,69.60632468894676
-33.92232415069871,18.42158259019105,224.0,70.65846396363811
-33.92231488895167,18.421594407793656,225.0,72.12472258391203
-33.92230478124579,18.421606268497484,226.0,69.75882902922454
-33.92229308145058,18.421617567768873,227.0,69.08235315393519
-33.922280531225525,18.42162772914185,228.0,67.46317201967592
-33.92226648340588,18.421636534182813,229.0,66.08280418113426
-33.922251643818946,18.421645417782397,230.0,67.76269597559799
-33.92223606699726,18.421653857594293,231.0,65.87142101900078
-33.92222042295272,18.421662594477596,232.0,67.8243446783372
-33.92220508990452,18.421671646549612,233.0,68.23334080825617
-33.92219051676954,18.421680617027828,234.0,67.30441617235725
-33.9221755237126,18.42168848231199,235.0,66.52367205584491
-33.92216122220601,18.421696872707653,236.0,66.83498227719907
-33.922148736956835,18.42170381821164,237.0,68.6760912181713
-33.9221364339135,18.421708134895162,238.0,66.47808858989198
-33.92212306138189,18.421712369098383,239.0,65.92199664834105
-33.9221105598046,18.421716512636976,240.0,65.76390908323688
-33.92209772206616,18.4217193705265,241.0,68.69233862606096
-33.922085106249,18.42172288814221,242.0,64.39670952690972
-33.92207278982209,18.421727301215014,243.0,58.452104431905866
-33.92205980010993,18.42173141659304,244.0,55.07179006317516
-33.92204741797571,18.421734923521413,245.0,52.7380793668017
-33.922035222245,18.421739657813433,246.0,49.8036807966821
-33.92202374930533,18.421744998179527,247.0,50.20057122878087
-33.922013519322576,18.421751801415617,248.0,50.0665510464892
-33.922004067263565,18.421759544816997,249.0,49.42467683015046
-33.92199471298242,18.421768127091205,250.0,48.52582736545139
-33.9219857975063,18.42177672785137,251.0,46.37949749228395
-33.921975902059366,18.421786370590056,252.0,46.57864908854167
-33.92196635318905,18.421797052932718,253.0,47.69517692660108
-33.92195578331314,18.421806872182636,254.0,45.27107397762346
-33.921945883048195,18.42181734082725,255.0,42.79565658757716
-33.921936932096486,18.42182832231565,256.0,43.61443311149692
-33.92192903089652,18.421840452836108,257.0,42.81584870515047
-33.92192161843423,18.421851929732508,258.0,43.91625964506173
-33.921913552662254,18.421863711335394,259.0,43.7886361882716
-33.92190664168363,18.42187700663525,260.0,43.814538544077934
-33.92190038910403,18.421891067932272,261.0,44.96383650414737
-33.92189639556505,18.421908559956627,262.0,45.37108808352623
-33.921894157181185,18.42192789035558,263.0,52.54467387635031
-33.92189258567164,18.42194818891432,264.0,45.67132306134259
-33.92189124307449,18.421967612587125,265.0,42.19163116078318
-33.921891210112435,18.421985834142532,266.0,40.11650890962577
-33.92189155797502,18.422002962281372,267.0,37.307331271701386
-33.921890588854374,18.42202071102257,268.0,36.67921615788966
-33.9218889617581,18.42203677667035,269.0,36.86603527681327
-33.92188603658786,18.422047987675537,270.0,37.26953167197145
-33.921880711699416,18.422056976281702,271.0,39.22245147328318
-33.92187335239463,18.422065316991112,272.0,39.77338366849923
-33.92186284996352,18.422072063625524,273.0,39.46170289592978
-33.921850863865906,18.422077706236408,274.0,42.00258210358796
-33.92183762351254,18.422083183798943,275.0,44.76941315827546
-33.92182360032663,18.42208775448204,276.0,45.35190411603009
-33.92180876439534,18.42209386093477,277.0,46.859903247974536
-33.921793682917695,18.422099767877377,278.0,50.505953896604936
-33.921779408732775,18.42210620364526,279.0,52.16040304301698
-33.9217668745626,18.422115152079844,280.0,53.36788706838349
-33.921754558486526,18.422124837768873,281.0,52.58784294222608
-33.92174315175046,18.422134813219373,282.0,50.93901089891976
-33.921732805784096,18.42214664397147,283.0,51.49829776716821
-33.92172315487048,18.42215847920302,284.0,53.42919228636188
-33.92171428088727,18.422170597864287,285.0,54.62068045910494
-33.92170580719563,18.422182478333625,286.0,53.5737281177662
-33.921698167397444,18.422196607365922,287.0,56.08246895495756
-33.921690311650146,18.42220941396539,288.0,52.70735381703318
-33.921682316343336,18.422221581439846,289.0,51.14185305748457
-33.92167494913642,18.42223429126013,290.0,47.39084563078704
-33.92166671640007,18.422246834357686,291.0,44.19543728298611
-33.92165778279194,18.422258540477383,292.0,41.15755563994985
-33.92164923640843,18.422268227173674,293.0,36.351495346257714
-33.92164110458273,18.422279059566332,294.0,34.034922658661266
-33.92163277072387,18.422288426586757,295.0,33.12921055169753
-33.92162406197593,18.42229769798368,296.0,32.06221016589506
-33.921614405147956,18.422307451381897,297.0,32.38447729793596
-33.92160407925403,18.422316863571297,298.0,33.3642147111304
-33.92159364827889,18.42232765385509,299.0,34.89161687403549
-33.921583184046796,18.42233976640622,300.0,36.20658275462963
-33.921572966207634,18.422352297228002,301.0,38.889886730806325
-33.92156215113332,18.422363749660015,302.0,41.76698905285494
-33.92155127634203,18.422374869218196,303.0,40.74404284818673
-33.921542110460294,18.42238552163128,304.0,39.45868501639661
-33.92153624559044,18.422393248236702,305.0,40.20836431809413
-33.92153191026001,18.422399462013786,306.0,44.71377326871142
-33.921529810927844,18.422404590377422,307.0,42.31409860869984
-33.92152902323197,18.42240839524326,308.0,45.16962474681713
-33.92152782540777,18.42241326622755,309.0,48.58701376832562
-33.92152507527627,18.42242022209991,310.0,48.12615053530092
-33.921519000772605,18.4224284389584,311.0,50.68251241801698
-33.92151110796788,18.42243656888452,312.0,51.185480625482256
-33.921502956994715,18.422444495396988,313.0,52.08504846643518
-33.921493328119546,18.42245333949339,314.0,49.71102376302083
-33.92148322677611,18.422462878357226,315.0,46.93217863859954
-33.92147340273941,18.422473619131946,316.0,43.609213505497685
-33.921462923189466,18.422486049457223,317.0,42.90753309461805
-33.92145279435508,18.422499697489954,318.0,42.35177197868441
-33.92144277005228,18.422514357562964,319.0,44.24826865113812
-33.92143249943154,18.42252872941362,320.0,43.163098536361886
-33.92142240735994,18.422543603175054,321.0,42.70128827883873
-33.92141275614312,18.422558491518927,322.0,42.80584448543596
-33.921402987107086,18.42257299609281,323.0,41.6955158902392
-33.92139283455602,18.42258661352836,324.0,40.977985869984565
-33.92138265669577,18.422599517081004,325.0,41.973641975308645
-33.921372912147035,18.422612533659265,326.0,41.98998107156636
-33.92136360950965,18.42262569550913,327.0,40.71765203028549
-33.92135418595007,18.422638869046388,328.0,40.36943154417438
-33.92134366328918,18.422650480954633,329.0,40.696092363522375
-33.92133287611898,18.422661241970317,330.0,40.08458236882717
-33.92132145512811,18.42267015172234,331.0,43.09601086275077
-33.921309986558164,18.42267897356164,332.0,41.83957344714506
-33.921299882287705,18.422688842222204,333.0,41.4140843822338
-33.921290564798575,18.422698210189054,334.0,38.83916063850309
-33.921281130038025,18.422706814877216,335.0,36.85451183931327
-33.92127101771716,18.422716279192073,336.0,36.54893753616898
-33.92126121662896,18.422725996928865,337.0,37.49669102044753
-33.92125161679226,18.42273606863233,338.0,36.31992434654707
